col_A,col_B,col_C
zur Inhaltsübersicht,,
"Deutschlandatlas_GEM1224_b: Indikatoren auf Gemeindeebene, Gebietsstand zum 31.12.2024 ",,
GKZ1224,Gemeindename,"Indikatorkürzel: bev_dicht

Einwohner/-innen je km² im Jahr 2024"
5766024,Dörentrup,151.16
5766028,Extertal,121.61
5766032,"Horn-Bad Meinberg, Stadt",192.12
5766036,Kalletal,117.91
5766040,"Lage, Stadt",460.99
5766044,"Lemgo, Stadt",395.69
5766048,Leopoldshöhe,466.45
5766052,"Lügde, Stadt der Osterräder",104.15
5766056,"Oerlinghausen, Stadt",527.16
5766060,"Schieder-Schwalenberg, Stadt",134.88
5766064,Schlangen,121.85
5770004,"Bad Oeynhausen, Stadt",780.81
5770008,"Espelkamp, Stadt",303.72
5770012,Hille,158.02
5770016,Hüllhorst,297.63
5770020,"Lübbecke, Stadt",412.28
5770024,"Minden, Stadt",830.82
5770028,"Petershagen, Stadt",119.56
5770032,"Porta Westfalica, Stadt",347.09
5770036,"Preußisch Oldendorf, Stadt",180.93
5770040,"Rahden, Stadt",117.8
5770044,Stemwede,81.02
5774004,Altenbeken,120.19
5774008,"Bad Lippspringe, Stadt",338.21
5774012,Borchen,177.55
5774016,"Büren, Stadt",126.28
5774020,"Delbrück, Stadt",204.51
5774024,"Hövelhof, Sennegemeinde",237.62
5774028,"Lichtenau, Stadt",57.04
5774032,"Paderborn, Stadt",870.75
5774036,"Salzkotten, Stadt",231.59
5774040,"Bad Wünnenberg, Stadt",76.99
5911000,"Bochum, Stadt",2462.42
5913000,"Dortmund, Stadt",2149.77
5914000,"Hagen, Stadt der FernUniversität",1186.56
5915000,"Hamm, Stadt",794.81
5916000,"Herne, Stadt",3030.94
5954004,"Breckerfeld, Hansestadt",149.2
5954008,"Ennepetal, Stadt der Kluterthöhle",509.71
5954012,"Gevelsberg, Stadt",1139.18
5954016,"Hattingen, Stadt",740.11
5954020,"Herdecke, Stadt",1017.06
5954024,"Schwelm, Stadt",1363.56
5954028,"Sprockhövel, Stadt",505.47
5954032,"Wetter (Ruhr), Stadt",826.94
5954036,"Witten, Stadt",1268.07
5958004,"Arnsberg, Stadt",386.53
5958008,Bestwig,146.08
5958012,"Brilon, Stadt",110.94
5958016,Eslohe (Sauerland),76.9
5958020,"Hallenberg, Stadt",66.82
5958024,"Marsberg, Stadt",107.32
5958028,"Medebach, Hansestadt",62.72
5958032,"Meschede, Kreis- und  Hochschulstadt",135.53
5958036,"Olsberg, Stadt",124.58
5958040,"Schmallenberg, Stadt",81.53
5958044,"Sundern (Sauerland), Stadt",143.08
5958048,"Winterberg, Stadt",89
5962004,"Altena, Stadt",374.18
5962008,"Balve, Stadt",150.25
5962012,"Halver, Stadt",211.34
5962016,"Hemer, Stadt",517.37
5962020,Herscheid,114.83
5962024,"Iserlohn, Stadt",731.62
5962028,"Kierspe, Stadt",228.76
5962032,"Lüdenscheid, Stadt",818.34
5962036,"Meinerzhagen, Stadt",173.04
5962040,"Menden (Sauerland), Stadt",606.91
5962044,Nachrodt-Wiblingwerde,212.16
5962048,"Neuenrade, Stadt",214.81
5962052,"Plettenberg, Stadt",252.5
5962056,Schalksmühle,274.69
5962060,"Werdohl, Stadt",527.8
5966004,"Attendorn, Hansestadt",240.54
5966008,"Drolshagen, Stadt",177.51
5966012,Finnentrop,163.01
5966016,Kirchhundem,77.43
5966020,"Lennestadt, Stadt",178.77
5966024,"Olpe, Stadt",287.55
5966028,Wenden,267.57
5970004,"Bad Berleburg, Stadt",66.78
5970008,Burbach,182.55
5970012,Erndtebrück,95.69
5970016,"Freudenberg, Stadt",317.86
5970020,"Hilchenbach, Stadt",177.66
5970024,"Kreuztal, Stadt",434.85
5970028,"Bad Laasphe, Stadt",96.71
5970032,"Netphen, Stadt",167.99
5970036,Neunkirchen,319.14
5970040,"Siegen, Universitätsstadt",895.33
5970044,Wilnsdorf,278.16
5974004,Anröchte,139.64
5974008,Bad Sassendorf,192.15
5974012,Ense,242.42
5974016,"Erwitte, Stadt",182.31
5974020,"Geseke, Stadt",213.81
5974024,Lippetal,93.86
5974028,"Lippstadt, Stadt",604.67
5974032,Möhnesee,91.29
5974036,"Rüthen, Stadt",65.06
5974040,"Soest, Stadt",556.76
5974044,"Warstein, Stadt",158.1
5974048,Welver,140.14
5974052,"Werl, Stadt",387.69
5974056,Wickede (Ruhr),461.05
5978004,"Bergkamen, Stadt",1094.5
5978008,Bönen,466.19
5978012,"Fröndenberg/Ruhr, Stadt",364.65
5978016,Holzwickede,786.94
5978020,"Kamen, Stadt",1033.43
5978024,"Lünen, Stadt",1450.8
5978028,"Schwerte, Hansestadt an der Ruhr",814.89
5978032,"Selm, Stadt",429.88
5978036,"Unna, Stadt",658.68
5978040,"Werne, Stadt",396.66
6411000,"Darmstadt, Wissenschaftsstadt",1368.31
6412000,"Frankfurt am Main, Stadt",3044.67
6413000,"Offenbach am Main, Stadt",2957.8
6414000,"Wiesbaden, Landeshauptstadt",1416.83
6431001,Abtsteinach,218.24
6431002,"Bensheim, Stadt",711.12
6431003,Biblis,224.26
6431004,Birkenau,389.77
6431005,"Bürstadt, Stadt",516.66
6431006,Einhausen,244.96
6431007,Fürth,281.44
6431008,Gorxheimertal,399.81
6431009,Grasellenbach,174.04
6431010,Groß-Rohrheim,185.99
6431011,"Heppenheim (Bergstraße), Kreisstadt",534.61
6431012,"Hirschhorn (Neckar), Stadt",112.87
6431013,"Lampertheim, Stadt",448.32
6431014,Lautertal (Odenwald),227.35
6431015,"Lindenfels, Stadt",239.88
6431016,"Lorsch, Karolingerstadt",565.89
6431017,Mörlenbach,376.38
6431018,"Neckarsteinach, Stadt",222.04
6431019,Rimbach,377.29
6431020,"Viernheim, Stadt",711.13
6431021,Wald-Michelbach,140.69
6431022,"Zwingenberg, Stadt",1286.75
6431200,"Michelbuch, gemfr. Gebiet",-9999
6432001,Alsbach-Hähnlein,588.02
6432002,"Babenhausen, Stadt",264.7
6432003,Bickenbach,651.3
6432004,"Dieburg, Stadt",684.49
6432005,Eppertshausen,490.39
6432006,Erzhausen,1053.24
6432007,Fischbachtal,203.99
6432008,"Griesheim, Stadt",1360.05
6432009,"Groß-Bieberau, Stadt",249.7
6432010,"Groß-Umstadt, Stadt",244.65
6432011,Groß-Zimmern,687.06
6432012,Messel,284.41
6432013,Modautal,160.11
6432014,Mühltal,550.55
6432015,Münster (Hessen),712.85
6432016,"Ober-Ramstadt, Stadt",360.03
6432017,Otzberg,150.74
6432018,"Pfungstadt, Stadt",597.44
6432019,"Reinheim, Stadt",595.78
6432020,Roßdorf,635.73
6432021,Schaafheim,283.36
6432022,Seeheim-Jugenheim,585.43
6432023,"Weiterstadt, Stadt",772.76
6433001,Biebesheim am Rhein,348.77
6433002,Bischofsheim,1437.32
6433003,Büttelborn,489.34
6433004,"Gernsheim, Schöfferstadt",266.39
6433005,"Ginsheim-Gustavsburg, Stadt",1182.78
6433006,"Groß-Gerau, Stadt",466.09
6433007,"Kelsterbach, Stadt",1078.65
6433008,"Mörfelden-Walldorf, Stadt",716.93
6433009,Nauheim,762.24
6433010,"Raunheim, Stadt",1214.05
6433011,"Riedstadt, Büchnerstadt",313.93
6433012,"Rüsselsheim am Main, Stadt",1125.87
6433013,Stockstadt am Rhein,317.41
6433014,Trebur,255.32
6434001,"Bad Homburg v. d. Höhe, Stadt",1108.49
6434002,"Friedrichsdorf, Philipp-Reis-Stadt",858.65
6434003,Glashütten,195.98
6434004,Grävenwiesbach,124.59
6434005,"Königstein im Taunus, Stadt",665.87
6434006,"Kronberg im Taunus, Stadt",1004.9
6434007,"Neu-Anspach, Stadt",397.07
6434008,"Oberursel (Taunus), Stadt",1030.79
6434009,Schmitten im Taunus,262.55
6434010,"Steinbach (Taunus), Stadt",2467.27
6434011,"Usingen, Stadt",281.01
6434012,Wehrheim,241.81
6434013,Weilrod,96.33
6435001,"Bad Orb, Stadt",208.04
6435002,"Bad Soden-Salmünster, Stadt",234.15
6435003,Biebergemünd,105.04
6435004,Birstein,70.36
6435005,Brachttal,157.07
6435006,"Bruchköbel, Stadt",686.38
6435007,"Erlensee, Stadt",856.14
6435008,Flörsbachtal,43.64
6435009,Freigericht,423.21
6435010,"Gelnhausen, Barbarossastadt, Kreisstadt",515.84
6435011,Großkrotzenburg,975.1
6435012,Gründau,215.38
6435013,Hammersbach,240.47
6435014,"Hanau, Brüder-Grimm-Stadt",1284.16
6435015,Hasselroth,390.17
6435016,Jossgrund,67.21
6435017,"Langenselbold, Stadt",550.51
6435018,Linsengericht,324.8
6435019,"Maintal, Stadt",1202.93
6435020,Neuberg,501.99
6435021,"Nidderau, Stadt",430.54
6435022,Niederdorfelden,646.47
6435023,Rodenbach,661.53
6435024,Ronneburg,247.86
6435025,"Schlüchtern, Stadt",138.77
6435026,Schöneck,550.56
6435027,Sinntal,77.62
6435028,"Steinau an der Straße, Brüder-Grimm-Stadt",97.17
6435029,"Wächtersbach, Stadt",250.66
6435200,"Gutsbezirk Spessart, gemfr. Gebiet",-9999
6436001,"Bad Soden am Taunus, Stadt",1848.24
6436002,"Eppstein, Stadt",540.31
6436003,"Eschborn, Stadt",1846.91
6436004,"Flörsheim am Main, Stadt",928.4
6436005,"Hattersheim am Main, Stadt",1801.71
6436006,"Hochheim am Main, Stadt",946.17
6436007,"Hofheim am Taunus, Kreisstadt",683.6
6436008,"Kelkheim (Taunus), Stadt",916.86
6436009,Kriftel,1679.88
6436010,Liederbach am Taunus,1433.39
6436011,"Schwalbach am Taunus, Stadt",2386.86
6436012,Sulzbach (Taunus),1126.88
6437001,"Bad König, Stadt",203.47
6437003,Brensbach,209.66
6437004,"Breuberg, Stadt",233.94
6437005,Brombachtal,167.12
6437006,"Erbach, Kreisstadt",226.51
6437007,Fränkisch-Crumbach,180.52
6437009,Höchst i. Odw.,319.37
6437010,Lützelbach,190.6
6437011,"Michelstadt, Stadt",177.01
6437012,Mossautal,49.8
6437013,Reichelsheim (Odenwald),142.28
6437016,"Oberzent, Stadt",56.93
6438001,"Dietzenbach, Kreisstadt",1640.27
6438002,"Dreieich, Stadt",782.65
6438003,Egelsbach,740.04
6438004,Hainburg,907.47
6438005,"Heusenstamm, Stadt",1014.82
6438006,"Langen (Hessen), Stadt",1331.9
6438007,Mainhausen,529.19
6438008,"Mühlheim am Main, Stadt",1412.39
6438009,"Neu-Isenburg, Hugenotten- und Waldenserstadt",1561.38
6438010,"Obertshausen, Stadt",1858.74
6438011,"Rodgau, Stadt",696.14
6438012,"Rödermark, Stadt",958.75
6438013,"Seligenstadt, Einhardstadt",690.37
6439001,Aarbergen,182.81
6439002,"Bad Schwalbach, Kreisstadt",286.37
6439003,"Eltville am Rhein, Stadt",364.14
6439004,"Geisenheim, Hochschulstadt",281.83
6439005,Heidenrod,77.53
6439006,Hohenstein,91.28
6439007,Hünstetten,205.22
6439008,"Idstein, Hochschulstadt",322.67
6439009,Kiedrich,313.86
6439010,"Lorch, Stadt",69.45
6439011,Niedernhausen,406.49
6439012,"Oestrich-Winkel, Stadt",192.29
6439013,"Rüdesheim am Rhein, Stadt",192.16
6439014,Schlangenbad,163.43
6439015,"Taunusstein, Stadt",449.79
6439016,Waldems,144.17
6439017,Walluf,802.23
6440001,Altenstadt,424.19
6440002,"Bad Nauheim, Stadt",1010.88
6440003,"Bad Vilbel, Stadt",1400.35
6440004,"Büdingen, Stadt",182.38
6440005,"Butzbach, Friedrich-Ludwig-Weidig-Stadt",253.71
6440006,Echzell,145.39
6440007,"Florstadt, Stadt",229.72
6440008,"Friedberg (Hessen), Kreisstadt",606
6440009,"Gedern, Stadt",89.17
6440010,Glauburg,238.2
6440011,Hirzenhain,170.7
6440012,"Karben, Stadt",514.34
6440013,Kefenrod,85.3
6440014,Limeshain,445.04
6440015,"Münzenberg, Stadt",179.04
6440016,"Nidda, Stadt",144.17
6440017,"Niddatal, Stadt",244.99
6440018,Ober-Mörlen,151.55
6440019,"Ortenberg, Stadt",153.99
6440020,Ranstadt,155.87
6440021,"Reichelsheim (Wetterau), Stadt",252.58
6440022,Rockenberg,258.55
6440023,"Rosbach v. d. Höhe, Stadt",288.64
6440024,Wölfersheim,218.44
6440025,Wöllstadt,428.67
6531001,"Allendorf (Lumda), Stadt",173.42
6531002,Biebertal,225.15
6531003,Buseck,324.45
6531004,Fernwald,329.58
6531005,"Gießen, Universitätsstadt",1228.19
6531006,"Grünberg, Stadt",153.36
6531007,Heuchelheim a. d. Lahn,734.69
6531008,"Hungen, Stadt",146.97
6531009,Langgöns,208.74
6531010,"Laubach, Stadt",99.98
6531011,"Lich, Stadt",182.54
6531012,"Linden, Stadt",584.45
6531013,"Lollar, Stadt",477.89
6531014,"Pohlheim, Stadt",465.18
6531015,Rabenau,112.47
6531016,Reiskirchen,230.92
6531017,"Staufenberg, Stadt",290.1
6531018,Wettenberg,281.38
6532001,"Aßlar, Stadt",332.38
6532002,Bischoffen,90.36
6532003,"Braunfels, Stadt",233.61
6532004,Breitscheid,143.14
6532005,Dietzhölztal,142.19
6532006,"Dillenburg, Oranienstadt",274.28
6532007,Driedorf,106.31
6532008,Ehringshausen,206.89
6532009,Eschenburg,213.96
6532010,Greifenstein,97.33
6532011,"Haiger, Stadt",176.97
6532012,"Herborn, Stadt",320.28
6532013,Hohenahr,106.63
6532014,Hüttenberg,258.96
6532015,Lahnau,341.73
6532016,"Leun, Stadt",199.41
6532017,Mittenaar,131.02
6532018,Schöffengrund,193.2
6532019,Siegbach,85.7
6532020,Sinn,346.24
6532021,"Solms, Stadt",399.15
6532022,Waldsolms,104.13
6532023,"Wetzlar, Stadt",722.6
6533001,Beselich,185
6533002,Brechen,254.26
6533003,"Bad Camberg, Stadt",261.32
6533004,Dornburg,255.97
6533005,Elbtal,215.66
6533006,Elz,479.42
6533007,"Hadamar, Stadt",319.15
6533008,Hünfelden,156.61
6533009,"Limburg a. d. Lahn, Kreisstadt",795.79
6533010,Löhnberg,137.2
6533011,"Mengerskirchen, Marktflecken",182.09
6533012,"Merenberg, Marktflecken",143.61
6533013,"Runkel, Stadt",218.33
6533014,Selters (Taunus),201.58
6533015,"Villmar, Marktflecken",153.64
6533016,Waldbrunn (Westerwald),196.41
6533017,"Weilburg, Stadt",225.91
6533018,"Weilmünster, Marktflecken",112.04
6533019,Weinbach,110.86
6534001,"Amöneburg, Stadt",113.26
6534002,Angelburg,203.83
6534003,Bad Endbach,199.07
6534004,"Biedenkopf, Stadt",143.61
6534005,Breidenbach,150.21
6534006,Cölbe,243.29
6534007,Dautphetal,159.21
6534008,Ebsdorfergrund,126.35
6534009,Fronhausen,147.4
6534010,"Gladenbach, Stadt",171.76
6534011,"Kirchhain, Stadt",178.71
6534012,Lahntal,171.68
6534013,Lohra,118.45
6534014,"Marburg, Universitätsstadt",593.53
6534015,Münchhausen,78.07
6534016,"Neustadt (Hessen), Stadt",163.84
6534017,"Rauschenberg, Stadt",66.3
6534018,"Stadtallendorf, Stadt",273.84
6534019,Steffenberg,157.61
6534020,Weimar (Lahn),153.88
6534021,"Wetter (Hessen), Stadt",84.83
6534022,Wohratal,69.84
6535001,"Alsfeld, Stadt",118.01
6535002,Antrifttal,65.96
6535003,Feldatal,39.11
6535004,Freiensteinau,45.19
6535005,Gemünden (Felda),48.11
6535006,"Grebenau, Stadt",41.07
6535007,Grebenhain,48.42
6535008,"Herbstein, Stadt",57.3
6535009,"Homberg (Ohm), Stadt",79.2
6535010,"Kirtorf, Stadt",38.44
6535011,"Lauterbach (Hessen), Kreisstadt",127.94
6535012,Lautertal (Vogelsberg),41.55
6535013,Mücke,107.47
6535014,"Romrod, Stadt",47.29
6535015,"Schlitz, Stadt",65.26
6535016,"Schotten, Stadt",72.18
6535017,Schwalmtal,50.59
6535018,"Ulrichstein, Stadt",41.58
6535019,Wartenberg,87.73
6611000,"Kassel, documenta-Stadt",1846.9
6631001,Bad Salzschlirf,277.87
6631002,"Burghaun, Marktgemeinde",98.46
6631003,Dipperz,121.27
6631004,Ebersburg,125.86
6631005,Ehrenberg (Rhön),61.68
6631006,Eichenzell,211.68
6631007,"Eiterfeld, Marktgemeinde",77.26
6631008,Flieden,173.62
6631009,"Fulda, Stadt",628.87
6631010,"Gersfeld (Rhön), Stadt",59.91
6631011,Großenlüder,117.87
6631012,"Hilders, Marktgemeinde",67.26
6631013,Hofbieber,71.91
6631014,Hosenfeld,89.89
6631015,"Hünfeld, Konrad-Zuse-Stadt",141.59
6631016,Kalbach,91.7
6631017,Künzell,558.22
6631018,Neuhof,120.66
6631019,Nüsttal,62.65
6631020,Petersberg,451.65
6631021,Poppenhausen (Wasserkuppe),67.89
6631022,"Rasdorf, Point-Alpha-Gemeinde",52.16
6631023,"Tann (Rhön), Stadt",74.31
6632001,Alheim,75.49
6632002,"Bad Hersfeld, Kreisstadt",417.57
6632003,"Bebra, Stadt",138.14
6632004,Breitenbach a. Herzberg,39.48
6632005,Cornberg,54.45
6632006,Friedewald,67.31
6632007,Hauneck,172.96
6632008,Haunetal,50.87
6632009,"Heringen (Werra), Stadt",108.97
6632010,Hohenroda,84.79
6632011,Kirchheim,71.59
6632012,Ludwigsau,47.97
6632013,Nentershausen,41.47
6632014,Neuenstein,46
6632015,"Niederaula, Marktgemeinde",81.44
6632016,"Philippsthal (Werra), Marktgemeinde",184.23
6632017,Ronshausen,60.35
6632018,"Rotenburg a. d. Fulda, Stadt",161.77
6632019,Schenklengsfeld,66.15
6632020,Wildeck,117.73
6633001,Ahnatal,416.69
6633002,"Bad Karlshafen, Stadt",227.14
6633003,"Baunatal, Stadt",729.79
6633004,Breuna,83.6
6633005,Calden,126.82
6633006,Bad Emstal,143.9
6633007,Espenau,372.72
6633008,Fuldabrück,474.47
6633009,Fuldatal,378.73
6633010,"Grebenstein, Stadt",107.5
6633011,Habichtswald,183.2
6633012,Helsa,205.94
6633013,"Hofgeismar, Stadt",167.18
6633014,"Immenhausen, Stadt",248
6633015,Kaufungen,490.94
6633016,"Liebenau, Stadt",58.92
6633017,Lohfelden,836.55
6633018,"Naumburg, Stadt",74.41
6633019,Nieste,489.16
6633020,Niestetal,501.71
6633022,Reinhardshagen,330.33
6633023,Schauenburg,335.34
6633024,Söhrewald,76.68
6633025,"Trendelburg, Stadt",68.55
6633026,"Vellmar, Stadt",1264.35
6633028,"Wolfhagen, Hans-Staden-Stadt",112.05
6633029,"Zierenberg, Stadt",71.67
6633030,Wesertal,89.52
6633200,"Gutsbezirk Reinhardswald, gemfr. Gebiet",-9999
6634001,"Borken (Hessen), Stadt",148.78
6634002,Edermünde,285.15
6634003,"Felsberg, Stadt",126.44
6634004,"Frielendorf, Marktflecken",82.88
6634005,"Fritzlar, Dom- und Kaiserstadt",163.19
6634006,Gilserberg,46.45
6634007,"Gudensberg, Stadt",213.49
6634008,Guxhagen,204.16
6634009,"Homberg (Efze), Reformationsstadt, Kreisstadt",146.87
6634010,Jesberg,41.86
6634011,Knüllwald,44.13
6634012,Körle,178.13
6634013,Malsfeld,107.13
6634014,"Melsungen, Stadt",221.81
6634015,Morschen,64.88
6634016,Neuental,78.04
6634017,"Neukirchen, Stadt",102.37
6634018,"Niedenstein, Stadt",181.97
6634019,Oberaula,73.87
6634020,Ottrau,45.51
6634021,Schrecksbach,80.25
6634022,"Schwalmstadt, Konfirmationsstadt",217.24
6634023,"Schwarzenborn, Stadt",40.37
6634024,"Spangenberg, Liebenbachstadt",61.07
6634025,Wabern,141.26
6634026,Willingshausen,76.15
6634027,Bad Zwesten,99.9
6635001,Allendorf (Eder),97.62
6635002,"Bad Arolsen, Stadt",126.91
6635003,"Bad Wildungen, Stadt",144.58
6635004,"Battenberg (Eder), Stadt",84.22
6635006,Burgwald,119.42
6635007,Diemelsee,37.07
6635008,"Diemelstadt, Stadt",62.82
6635009,"Edertal, Nationalparkgemeinde",53.45
6635010,"Frankenau, Nationalparkstadt",48.56
6635011,"Frankenberg (Eder), Philipp-Soldan-Stadt",141.24
6635012,"Gemünden (Wohra), Stadt",61.48
6635013,Haina (Kloster),35.69
6635014,"Hatzfeld (Eder), Stadt",48.97
6635015,"Korbach, Hansestadt, Kreisstadt",184.52
6635016,"Lichtenfels, Stadt",41.86
6635017,"Rosenthal, Stadt",39.79
6635018,Twistetal,56.95
6635019,"Vöhl, Nationalparkgemeinde",55.24
6635020,"Volkmarsen, Stadt",96.86
6635021,"Waldeck, Nationalparkstadt",59.68
6635022,Willingen (Upland),70.67
6636001,"Bad Sooden-Allendorf, Stadt",110.39
6636002,Berkatal,75.32
6636003,"Eschwege, Kreisstadt",296.29
6636004,"Großalmerode, Stadt",162.01
6636005,Herleshausen,44.03
6636006,"Hessisch Lichtenau, Stadt",116.7
6636007,Meinhard,107.7
6636008,Meißner,65.05
6636009,Neu-Eichenberg,62.62
6636010,Ringgau,42.36
6636011,"Sontra, Stadt",67.09
6636012,"Waldkappel, Stadt",41.98
6636013,"Wanfried, Stadt",86.39
6636014,Wehretal,124.57
6636015,Weißenborn,61.89
6636016,"Witzenhausen, Stadt",119.36
6636200,"Gutsbezirk Kaufunger Wald, gemfr. Gebiet",-9999
7111000,"Koblenz, Stadt",1077.23
7131001,"Adenau, Stadt",158.14
7131002,Ahrbrück,90.56
7131003,Altenahr,108.23
7131004,Antweiler,106.73
7131005,Aremberg,20.4
7131006,"Bad Breisig, Stadt",482.84
7131007,"Bad Neuenahr-Ahrweiler, Stadt",442.07
7131008,Barweiler,45.66
7131009,Bauler,20.17
7131011,Berg,68.02
7131014,Brohl-Lützing,276.9
7131015,Dankerath,21.47
7131016,Dedenbach,62.61
7131017,Dernau,255.99
7131018,Dorsel,24.03
7131021,Eichenbach,13.94
7131022,Fuchshofen,32.39
7131025,Gönnersdorf,128.57
7131026,Harscheid,46.96
7131027,Heckenbach,8.81
7131028,Herschbroich,38.79
7131029,Hönningen,109.78
7131030,Hoffeld,59.61
7131032,Honerath,81.59
7131033,Hümmel,30.62
7131034,Insul,95.21
7131036,Kalenborn,168.29
7131037,Kaltenborn,15.76
7131039,Kesseling,17.76
7131040,Kirchsahr,58.52
7131041,Königsfeld,99.58
7131042,Kottenborn,48.68
7131044,Leimbach,27.24
7131047,Lind,46.48
7131049,Mayschoß,136.77
7131050,Meuspath,56.21
7131051,Müllenbach,62.59
7131052,Müsch,43.31
7131054,Niederdürenbach,137.54
7131055,Niederzissen,228.37
7131058,Nürburg,51.79
7131059,Oberdürenbach,96.4
7131060,Oberzissen,405.13
7131062,Ohlenhard,25.95
7131065,Pomster,26.16
7131066,Quiddelbach,56.21
7131068,Rech,112.29
7131069,Reifferscheid,34.97
7131070,"Remagen, Stadt",530.05
7131072,Rodder,37.77
7131073,Schalkenbach,78.85
7131074,Schuld,102.19
7131075,Senscheid,18.27
7131076,Sierscheid,34.89
7131077,"Sinzig, Stadt",419.85
7131079,Trierscheid,18.73
7131081,Waldorf,114.7
7131082,Wershofen,63.23
7131083,Wiesemscheid,46.96
7131084,Wimbach,61.99
7131085,Winnerath,57.06
7131086,Wirft,45.54
7131090,Grafschaft,187.8
7131201,Brenk,59.22
7131202,Burgbrohl,306.87
7131204,Galenberg,100.44
7131205,Glees,49
7131206,Hohenleimbach,36.38
7131208,Spessart,99.54
7131209,Wassenach,210.53
7131210,Wehr,112.98
7131211,Weibern,142.9
7131501,Dümpelfeld,46.96
7131502,Kempenich,158.56
7132001,Almersbach,659.02
7132002,Alsdorf,249.83
7132004,Bachenberg,56.29
7132005,Berzhausen,82.7
7132006,"Betzdorf, Stadt",1084
7132007,Birkenbeul,90.34
7132008,Birken-Honigsessen,138.97
7132009,Birnbach,212.54
7132010,Bitzen,342.17
7132011,Mittelhof,92.36
7132012,Brachbach,368.87
7132013,Breitscheidt,278.69
7132014,Bruchertseifen,274.74
7132015,Bürdenbach,215.85
7132016,Burglahr,170.59
7132017,Busenhausen,116.56
7132018,"Daaden, Stadt",218.59
7132019,Derschen,142.54
7132020,Dickendorf,249.66
7132022,Eichelhardt,180.99
7132023,Eichen,125.53
7132024,Elben,143.7
7132025,Elkenroth,221.72
7132026,Emmerzhausen,95.33
7132027,Ersfeld,55
7132028,Etzbach,436.84
7132029,Eulenberg,44.44
7132030,Fensdorf,176.04
7132031,Fiersbach,94.39
7132032,Flammersfeld,349.26
7132033,Fluterschen,185.55
7132034,Forst,145.05
7132035,Forstmehren,101.86
7132036,Friedewald,154.51
7132037,Friesenhagen,31.29
7132038,Fürthen,557.08
7132039,Gebhardshain,311.26
7132040,Gieleroth,114.19
7132041,Giershausen,47.87
7132042,Grünebach,206.35
7132043,Güllesheim,344.55
7132044,"Hamm (Sieg), Raiffeisengemeinde",1052.19
7132045,Harbach,93.26
7132046,Hasselbach,55.03
7132047,Helmenzen,225.54
7132048,Helmeroth,60.78
7132049,Hemmelzen,99.65
7132050,"Herdorf, Stadt",361.76
7132051,Heupelzen,97.29
7132052,Hilgenroth,100.34
7132053,Hirz-Maulsbach,50.41
7132054,Hövels,67.13
7132055,Horhausen (Westerwald),456.78
7132056,Idelberg,54.87
7132057,Ingelbach,97.44
7132058,Isert,58.7
7132059,Kausen,215.75
7132060,Kescheid,26.5
7132061,Kettenhausen,202.38
7132062,Kircheib,88.7
7132063,"Kirchen (Sieg), Stadt",209.21
7132064,Kraam,58.97
7132065,Krunkel,209.25
7132066,Malberg,245.01
7132067,Mammelzen,250.85
7132068,Mauden,71.26
7132069,Mehren,127.05
7132070,Michelbach (Westerwald),124.15
7132071,Molzhain,184.83
7132072,Mudersbach,621.73
7132073,Nauroth,178.75
7132075,Niederdreisbach,206
7132076,Niederfischbach,285.35
7132077,Niederirsen,32.75
7132078,Niedersteinebach,258.23
7132079,Nisterberg,81.28
7132080,Katzwinkel (Sieg),112.85
7132081,Obererbach (Westerwald),150.69
7132082,Oberirsen,64.41
7132083,Oberlahr,272.79
7132085,Obersteinebach,69.97
7132086,Oberwambach,106.77
7132087,Ölsen,35.4
7132088,Orfgen,62.3
7132089,Peterslahr,140.95
7132090,Pleckhausen,420.1
7132091,Pracht,269.09
7132092,Racksen,69.7
7132093,Reiferscheid,207.04
7132094,Rettersen,113.08
7132095,Rosenheim (Landkreis Altenkirchen),184.11
7132096,Roth,414.55
7132097,Rott,40.61
7132098,Scheuerfeld,784.96
7132099,Schöneberg,135.37
7132100,Schürdt,144.78
7132101,Schutzbach,288.89
7132102,Seelbach bei Hamm (Sieg),37.54
7132103,Seelbach (Westerwald),93.98
7132104,Seifen,42.86
7132105,Selbach (Sieg),213.11
7132106,Sörth,130.65
7132107,Steinebach/ Sieg,289.21
7132108,Steineroth,213.44
7132109,Stürzelbach,125.42
7132110,Volkerzen,35.68
7132111,Wallmenroth,307.25
7132112,Walterschen,74.06
7132113,Weitefeld,274.68
7132114,Werkhausen,39.17
7132115,Weyerbusch,359.24
7132116,Willroth,505.61
7132117,"Wissen, Stadt",248.82
7132118,Wölmersen,141.44
7132119,Ziegenhain,229.58
7132201,Berod bei Hachenburg,121.74
7132501,"Altenkirchen (Westerwald), Stadt",615.48
7132502,Neitersen,150.84
7133001,Abtweiler,33.85
7133002,Allenfeld,74.5
7133003,Altenbamberg,109.95
7133004,Argenschwang,81.88
7133005,Auen,68.27
7133006,"Bad Kreuznach, Stadt",974.95
7133008,Bärenbach,87.5
7133009,Bärweiler,33.22
7133010,Becherbach bei Kirn,48.63
7133011,Becherbach,77.86
7133012,Biebelsheim,235.48
7133013,Bockenau,122.67
7133014,Boos,311.71
7133015,Braunweiler,131.93
7133016,Brauweiler,19.94
7133017,Breitenheim,69.07
7133018,Bretzenheim,473.67
7133019,Burgsponheim,197.27
7133020,Callbach,61.34
7133021,Dalberg,98.7
7133022,Daubach,78.01
7133023,Daxweiler,44.62
7133024,Desloch,51.18
7133025,Dörrebach,55.1
